name,quadrant,ring,isNew,description,ITR BE,ITR NL,FM,inRadar,
Microservices Architecture,Technieken,Adopt,TRUE,Backend services,,,X,Y,
Mocha (+ chai),Tooling en testing,Adopt,TRUE,JS Testing Framework,,,X,Y,
Mod Security,"Platforms, infrastructure & Data",Adopt,TRUE,Web Application Firewall,,X,,N,
Momentjs,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,JS Date Library,,,X,N,
MongoDB,"Platforms, infrastructure & Data",Adopt,TRUE,NoSQL DB / Document Store,X,X,X,Y,
MySQL,"Platforms, infrastructure & Data",Adopt,TRUE,Relational Database (SQL),,,X,Y,
MySQL (MariaDB),"Platforms, infrastructure & Data",Adopt,TRUE,Relational Database (SQL),,X,,N,
MySQL (Percona),"Platforms, infrastructure & Data",Adopt,TRUE,Relational Database (SQL),X,,,N,
Native Script,"Frameworks, CMS & Programmeertalen",Assess,TRUE,Native iOS and Android Apps with JavaScript (Angular & Vue),,,X,Y,
Neo4j,"Platforms, infrastructure & Data",Hold,TRUE,,X,,X,Y,
Nestjs,"Frameworks, CMS & Programmeertalen",Assess,TRUE,"A progressive Node.js framework for building efficient, reliable and scalable server-side applications",,,X,Y,
Netlify,"Platforms, infrastructure & Data",Trial,TRUE,,X,X,X,Y,
Next.js,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,Server Side Rendering (SSR) Framework for React,,,X,Y,
Nginx,"Platforms, infrastructure & Data",Adopt,TRUE,,X,X,,Y,
No code - Low code,Technieken,Assess,TRUE,,X,X,,Y,
Node.js,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,Javascript Runtime Framework based on Chromium webengine,X,,X,Y,
Norea 2.0 nomenkader,Technieken,Adopt,TRUE,,,X,,N,
NPM,Tooling en testing,Adopt,TRUE,NodeJS Package Manager,,X,X,Y,
Nuxt.js,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,Server Side Rendering (SSR) Framework for Vue,X,X,X,Y,
NX (nrwl),Tooling en testing,Trial,TRUE,Develop multiple full-stack applications holistically and share code between them all in the same workspace,,,X,Y,
OAuth2,Technieken,Adopt,TRUE,OAuth2 is an open standard for access delegation,X,,X,N,
OpenAPI / Swagger,Tooling en testing,Adopt,TRUE,,,X,X,Y,
OpenCart,"Frameworks, CMS & Programmeertalen",Hold,TRUE,,,X,,Y,ADOPT - We feel strongly that the industry should be adopting these items. We use them when appropriate on our projects.
OpenID Connect,Technieken,Adopt,TRUE,OIDC is an identity layer on top of OAuth2,,,X,N,TRIAL - Worth pursuing. It’s important to understand how to build up this capability. Enterprises can try this technology on a project that can handle the risk.
OpenStack,"Platforms, infrastructure & Data",Assess,TRUE,,X,X,,Y,ASSESS - Worth exploring with the goal of understanding how it will affect your enterprise.
OpenVAS,Tooling en testing,Assess,TRUE,,,X,,Y,HOLD - Proceed with caution.
Owasp ZAP,Tooling en testing,Adopt,TRUE,Security scanning,,X,,Y,
Parcel,Tooling en testing,Assess,TRUE,Zero configuration web application bundler,,,X,Y,
PatternLab,"Frameworks, CMS & Programmeertalen",Hold,TRUE,,X,X,,Y,
PHP,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,X,,N,
PhpCS,Tooling en testing,Adopt,TRUE,,X,X,,Y,
PHPStorm,Tooling en testing,Adopt,TRUE,,X,X,,N,
PHPUnit,Tooling en testing,Adopt,TRUE,,X,X,,Y,
PM2,Tooling en testing,Adopt,TRUE,,X,,X,Y,
Polymer,"Frameworks, CMS & Programmeertalen",Hold,TRUE,"Libraries, tools, and standards for Frontends based on web components",,,X,Y,
PostCSS,Technieken,Trial,TRUE,A tool for transforming CSS with JavaScript,X,X,X,Y,
PostgreSQL,"Platforms, infrastructure & Data",Adopt,TRUE,,X,,,Y,
Prettier,Tooling en testing,Adopt,TRUE,Code formatter,X,,X,Y,
Progressive Web Apps (PWA),Technieken,Adopt,TRUE,Already part of most Frontend Frameworks by default,X,,X,Y,
Drupal Progressively decoupled,Technieken,Adopt,TRUE,drupal componenten in vue,,X,,N,
Prometheus,Tooling en testing,Assess,TRUE,Metrics & Insight for e.g. Kubernetes,,,X,Y,
Protractor,Tooling en testing,Adopt,TRUE,Angular(JS) Testing Framework,,,X,Y,
Puppeteer,Tooling en testing,Assess,TRUE,,X,,X,Y,
Python,"Frameworks, CMS & Programmeertalen",Trial,TRUE,,X,,X,Y,
RabbitMQ,"Platforms, infrastructure & Data",Adopt,TRUE,Message Queue based on AMQP,X,,,Y,
React,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,Frontend Library,,,X,Y,
React Native,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,A Framework for building Mobile Apps with React,,,X,Y,
React-hooks,Technieken,Trial,TRUE,Hook functionality for React,,,X,Y,
Redis,"Platforms, infrastructure & Data",Adopt,TRUE,Key Value Store,X,X,X,Y,
Redux,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,A Predictable State Container for JS Apps,,,X,Y,
Risk based testing,Technieken,Adopt,TRUE,,,X,,Y,
Rollup.js,Tooling en testing,Adopt,TRUE,Module bundler for JavaScript,,,X,Y,
RX.JS,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,JS Functional Event Library,,,X,Y,
SAML,Technieken,Adopt,TRUE,,,X,,N,
Sass,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,CSS pre-processor with syntax advancements,X,X,X,N,
Scrum,Technieken,Adopt,TRUE,,X,X,X,N,
Secure Development,Technieken,Adopt,TRUE,,,X,,Y,
Selenium,Tooling en testing,Hold,TRUE,Browser automation tooling,X,X,X,Y,
